Historical Gross Domestic Product Per Capita for Baseline Countries/Regions (in 2010 dollars) 1980-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Information important for using this table: Because of the use of fixed exchange rates, the base year can make a significant difference in the relative ranking of countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Calculated from real GDP and population in the ERS International Macroeconomic Data Sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Lorraine Mitchell (202-694-5234, lmitchel@ers.usda.gov).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Per Capita GDP in 2010 U.S. dollars and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntiguaBarbuda,5746.51,5990.38,6007.88,6560.51,7356.30,7927.46,8838.07,9421.38,9911.15,10438.52,10790.26,11048.75,10978.50,11357.79,11908.87,11186.64,11696.54,12095.11,12436.23,12682.15,13291.08,12404.95,12338.87,12899.15,13447.43,14118.88,15709.96,16941.99,16717.06,14502.58,13284.33,12840.88,13121.84,12942.74,13433.36,13806.24,14365.88,14665.06,,4.24,0.29,9.20,12.13,7.76,11.49,6.60,5.20,5.32,3.37,2.40,-0.64,3.45,4.85,-6.06,4.56,3.41,2.82,1.98,4.80,-6.67,-0.53,4.54,4.25,4.99,11.27,7.84,-1.33,-13.25,-8.40,-3.34,2.19,-1.36,3.79,2.78,4.05,2.08,2.26,,,,,,,,,,,,,,,,,,
Bahamas,26806.73,23913.10,25082.34,25545.96,28677.88,29591.03,29702.49,30190.43,30468.56,32041.64,31030.84,29234.44,27644.79,27288.84,27732.99,28546.95,29343.22,29544.00,30552.84,32347.27,33297.70,33801.90,34367.95,33610.89,33594.34,34425.45,34987.66,35178.29,34050.11,32328.72,32522.28,32420.20,33117.54,32687.09,32354.45,32414.26,31601.89,31796.50,,-10.79,4.89,1.85,12.26,3.18,0.38,1.64,0.92,5.16,-3.15,-5.79,-5.44,-1.29,1.63,2.93,2.79,0.68,3.41,5.87,2.94,1.51,1.67,-2.20,-0.05,2.47,1.63,0.54,-3.21,-5.06,0.60,-0.31,2.15,-1.30,-1.02,0.18,-2.51,0.62,1.39,,,,,,,,,,,,,,,,,,
Barbados,13204.94,12933.77,12245.96,12240.93,12618.87,12701.49,13296.64,13597.13,14028.15,14469.77,13929.73,13331.98,12339.33,12435.93,12863.43,13069.86,13534.86,14105.30,14560.77,14554.10,14824.87,14404.55,14450.82,14698.02,14835.85,15362.12,16170.20,16394.10,16344.56,15630.63,15619.13,15670.75,15661.60,15607.79,15556.34,15646.44,15910.58,16129.92,,-2.05,-5.32,-0.04,3.09,0.65,4.69,2.26,3.17,3.15,-3.73,-4.29,-7.45,0.78,3.44,1.60,3.56,4.21,3.23,-0.05,1.86,-2.84,0.32,1.71,0.94,3.55,5.26,1.38,-0.30,-4.37,-0.07,0.33,-0.06,-0.34,-0.33,0.58,1.69,1.38,0.23,,,,,,,,,,,,,,,,,,
Belize,2284.66,2239.84,2173.93,2079.97,2068.42,2030.54,2052.95,2217.02,2354.49,2590.77,2799.58,3016.33,3293.91,3411.15,3328.47,3263.20,3223.65,3250.72,3283.81,3478.15,3828.23,3915.48,4011.01,4276.11,4366.41,4372.82,4467.37,4414.64,4456.43,4391.58,4442.02,4442.36,4518.30,4460.99,4552.30,4636.30,4529.14,4486.89,,-1.96,-2.94,-4.32,-0.56,-1.83,1.10,7.99,6.20,10.04,8.06,7.74,9.20,3.56,-2.42,-1.96,-1.21,0.84,1.02,5.92,10.07,2.28,2.44,6.61,2.11,0.15,2.16,-1.18,0.95,-1.46,1.15,0.01,1.71,-1.27,2.05,1.85,-2.31,-0.93,-0.18,,,,,,,,,,,,,,,,,,
CostaRica,5160.33,4919.18,4434.59,4433.56,4574.20,4487.77,4609.54,4792.79,4846.37,4961.09,5029.70,5042.73,5375.54,5600.68,5686.68,5760.27,5681.06,5849.45,6107.72,6204.17,6299.26,6397.81,6502.01,6674.35,6858.19,7018.73,7419.06,7911.34,8162.14,7970.78,8252.17,8494.11,8786.78,8872.12,9069.49,9283.85,9553.83,9743.36,,-4.67,-9.85,-0.02,3.17,-1.89,2.71,3.98,1.12,2.37,1.38,0.26,6.60,4.19,1.54,1.29,-1.38,2.96,4.42,1.58,1.53,1.56,1.63,2.65,2.75,2.34,5.70,6.64,3.17,-2.34,3.53,2.93,3.45,0.97,2.22,2.36,2.91,1.98,2.42,,,,,,,,,,,,,,,,,,
Dominica,2607.10,2936.77,3046.01,3108.08,3289.72,3372.26,3647.36,3952.40,4319.37,4359.53,4621.39,4642.06,4726.52,4796.34,4830.49,4891.46,5050.74,5177.96,5454.59,5467.89,5451.99,5447.78,5327.88,5721.45,5891.06,5870.20,6031.97,6401.73,6844.63,6750.97,6782.09,6751.96,6665.13,6610.17,6887.53,6697.92,6860.66,6559.14,,12.65,3.72,2.04,5.84,2.51,8.16,8.36,9.28,0.93,6.01,0.45,1.82,1.48,0.71,1.26,3.26,2.52,5.34,0.24,-0.29,-0.08,-2.20,7.39,2.96,-0.35,2.76,6.13,6.92,-1.37,0.46,-0.44,-1.29,-0.82,4.20,-2.75,2.43,-4.40,-15.85,,,,,,,,,,,,,,,,,,
DominicanRep,2636.01,2685.26,2668.18,2728.99,2703.09,2588.89,2623.21,2827.80,2828.51,2892.11,2679.64,2652.09,2894.34,3053.03,3079.07,3197.57,3328.66,3560.87,3733.89,3887.75,3999.93,4029.49,4141.70,4021.81,4063.15,4382.15,4716.98,4996.27,5085.44,5063.31,5411.29,5506.40,5582.05,5779.13,6142.22,6493.29,6839.03,7065.47,,1.87,-0.64,2.28,-0.95,-4.22,1.33,7.80,0.03,2.25,-7.35,-1.03,9.13,5.48,0.85,3.85,4.10,6.98,4.86,4.12,2.89,0.74,2.78,-2.89,1.03,7.85,7.64,5.92,1.78,-0.44,6.87,1.76,1.37,3.53,6.28,5.72,5.32,3.31,4.16,,,,,,,,,,,,,,,,,,
ElSalvador,2579.87,2336.16,2208.29,2219.01,2215.87,2192.63,2156.49,2168.85,2169.82,2153.30,2219.76,2215.47,2330.69,2444.05,2529.72,2608.58,2590.08,2636.82,2671.38,2692.89,2694.60,2702.59,2736.88,2771.18,2788.67,2854.02,2970.65,3020.43,3072.00,2995.95,3048.20,3154.12,3232.83,3299.90,3355.92,3426.85,3506.53,3579.06,,-9.45,-5.47,0.49,-0.14,-1.05,-1.65,0.57,0.04,-0.76,3.09,-0.19,5.20,4.86,3.51,3.12,-0.71,1.80,1.31,0.81,0.06,0.30,1.27,1.25,0.63,2.34,4.09,1.68,1.71,-2.48,1.74,3.47,2.50,2.07,1.70,2.11,2.33,2.07,2.02,,,,,,,,,,,,,,,,,,
Grenada,3260.27,3231.80,3362.90,3480.84,3596.81,3798.74,4050.49,4395.02,4514.75,4684.01,4877.08,4952.23,4879.57,4728.54,4759.31,4811.28,4978.42,5180.12,5741.31,6101.47,6360.41,6189.95,6369.04,6939.07,6851.11,7714.24,7363.29,7763.58,7788.13,7229.34,7151.09,7165.84,7044.58,7172.20,7659.58,8112.79,8371.94,8644.99,,-0.87,4.06,3.51,3.33,5.61,6.63,8.51,2.72,3.75,4.12,1.54,-1.47,-3.10,0.65,1.09,3.47,4.05,10.83,6.27,4.24,-2.68,2.89,8.95,-1.27,12.60,-4.55,5.44,0.32,-7.17,-1.08,0.21,-1.69,1.81,6.80,5.92,3.19,3.26,2.48,,,,,,,,,,,,,,,,,,
Guatemala,2741.42,2686.79,2534.77,2398.83,2348.13,2272.09,2205.76,2188.80,2184.08,2209.14,2217.99,2237.31,2307.04,2358.42,2389.26,2445.31,2458.75,2510.27,2583.44,2634.78,2685.14,2699.24,2749.44,2766.48,2802.35,2836.09,2923.35,3040.90,3074.46,3026.77,3050.69,3114.67,3144.72,3198.73,3270.01,3343.32,3385.23,3417.75,,-1.99,-5.66,-5.36,-2.11,-3.24,-2.92,-0.77,-0.22,1.15,0.40,0.87,3.12,2.23,1.31,2.35,0.55,2.10,2.91,1.99,1.91,0.52,1.86,0.62,1.30,1.20,3.08,4.02,1.10,-1.55,0.79,2.10,0.96,1.72,2.23,2.24,1.25,0.96,1.59,,,,,,,,,,,,,,,,,,
Haiti,1271.53,1210.43,1143.57,1130.93,1110.95,1094.30,1066.11,1036.36,1048.63,998.35,987.93,988.14,917.79,848.95,731.12,785.75,800.68,805.11,805.57,810.68,802.13,779.57,763.97,752.87,713.17,713.19,716.89,729.19,724.22,735.41,702.13,732.01,743.62,765.04,776.74,770.30,764.22,761.50,,-4.80,-5.52,-1.11,-1.77,-1.50,-2.58,-2.79,1.18,-4.79,-1.04,0.02,-7.12,-7.50,-13.88,7.47,1.90,0.55,0.06,0.64,-1.06,-2.81,-2.00,-1.45,-5.27,0.00,0.52,1.72,-0.68,1.55,-4.53,4.26,1.59,2.88,1.53,-0.83,-0.79,-0.36,0.96,,,,,,,,,,,,,,,,,,
Honduras,1769.54,1742.37,1658.68,1588.76,1600.12,1608.13,1562.42,1601.22,1622.45,1641.37,1595.66,1601.06,1642.29,1693.68,1622.86,1639.81,1650.58,1685.17,1686.95,1614.50,1662.06,1663.49,1682.95,1716.31,1779.86,1844.61,1922.43,1997.65,2038.88,1949.22,1982.54,2019.62,2064.19,2083.69,2109.93,2153.85,2197.83,2265.94,,-1.54,-4.80,-4.22,0.71,0.50,-2.84,2.48,1.33,1.17,-2.78,0.34,2.58,3.13,-4.18,1.04,0.66,2.10,0.11,-4.29,2.95,0.09,1.17,1.98,3.70,3.64,4.22,3.91,2.06,-4.40,1.71,1.87,2.21,0.94,1.26,2.08,2.04,3.10,2.09,,,,,,,,,,,,,,,,,,
Jamaica,3572.72,3619.02,3629.71,3686.05,3618.73,3504.45,3563.70,3837.98,3984.41,4257.01,4416.26,4608.91,4659.27,5036.60,5044.27,5094.58,5023.30,4907.29,4737.98,4735.03,4727.76,4746.20,4796.54,4927.71,4949.05,4950.38,5051.26,5081.96,5000.96,4747.53,4642.92,4688.48,4625.67,4615.95,4615.21,4624.59,4656.34,4647.12,,1.30,0.30,1.55,-1.83,-3.16,1.69,7.70,3.82,6.84,3.74,4.36,1.09,8.10,0.15,1.00,-1.40,-2.31,-3.45,-0.06,-0.15,0.39,1.06,2.73,0.43,0.03,2.04,0.61,-1.59,-5.07,-2.20,0.98,-1.34,-0.21,-0.02,0.20,0.69,-0.20,1.33,,,,,,,,,,,,,,,,,,
Nicaragua,1929.09,1965.50,1898.74,1942.07,1868.48,1755.07,1700.87,1651.09,1411.06,1351.95,1294.53,1226.32,1179.54,1132.56,1134.08,1170.42,1216.79,1238.80,1259.95,1323.47,1352.75,1368.60,1356.07,1368.38,1419.64,1459.70,1495.05,1550.75,1584.20,1513.88,1562.79,1643.37,1731.37,1797.58,1864.25,1933.56,2003.66,2080.44,,1.89,-3.40,2.28,-3.79,-6.07,-3.09,-2.93,-14.54,-4.19,-4.25,-5.27,-3.81,-3.98,0.13,3.20,3.96,1.81,1.71,5.04,2.21,1.17,-0.92,0.91,3.75,2.82,2.42,3.73,2.16,-4.44,3.23,5.16,5.35,3.82,3.71,3.72,3.63,3.83,1.01,,,,,,,,,,,,,,,,,,
Panama,4471.45,4787.05,4942.67,4627.01,4656.88,4787.48,4858.46,4676.33,3971.55,3955.36,4193.11,4499.12,4773.31,4936.30,4980.17,4970.49,5073.99,5295.71,5575.69,5691.23,5741.48,5671.24,5698.95,5841.02,6178.07,6515.61,6965.78,7676.43,8302.15,8278.30,8631.80,9470.14,10249.35,10804.95,11198.17,11665.46,12088.01,12572.98,,7.06,3.25,-6.39,0.65,2.80,1.48,-3.75,-15.07,-0.41,6.01,7.30,6.09,3.41,0.89,-0.19,2.08,4.37,5.29,2.07,0.88,-1.22,0.49,2.49,5.77,5.46,6.91,10.20,8.15,-0.29,4.27,9.71,8.23,5.42,3.64,4.17,3.62,4.01,3.22,,,,,,,,,,,,,,,,,,
PuertoRico,15080.50,15115.53,14698.57,14194.04,14882.93,15198.43,15809.09,16569.82,17391.39,17986.88,17321.25,17595.03,18279.71,18968.30,19579.58,20282.03,20519.80,21322.11,22372.42,23460.46,24161.16,25631.40,25832.76,25830.16,28083.98,27565.41,27291.96,27132.93,26789.01,26409.39,26435.74,26642.11,26966.93,27234.24,27331.71,27504.14,27269.21,27094.22,,0.23,-2.76,-3.43,4.85,2.12,4.02,4.81,4.96,3.42,-3.70,1.58,3.89,3.77,3.22,3.59,1.17,3.91,4.93,4.86,2.99,6.09,0.79,-0.01,8.73,-1.85,-0.99,-0.58,-1.27,-1.42,0.10,0.78,1.22,0.99,0.36,0.63,-0.85,-0.64,-5.67,,,,,,,,,,,,,,,,,,
StKittsNevis,4961.14,5027.07,5063.61,5143.89,5605.82,6110.98,6789.69,7263.63,8008.25,8515.90,8987.50,8847.73,9196.19,9718.76,10103.98,10555.68,11061.60,11694.57,11475.64,11726.74,12831.00,13376.78,13576.11,12959.28,13316.51,14371.17,14517.63,14379.71,15157.68,14576.33,14129.13,14348.43,14146.42,14906.42,15671.48,16169.76,16402.85,16566.56,,1.33,0.73,1.59,8.98,9.01,11.11,6.98,10.25,6.34,5.54,-1.56,3.94,5.68,3.96,4.47,4.79,5.72,-1.87,2.19,9.42,4.25,1.49,-4.54,2.76,7.92,1.02,-0.95,5.41,-3.84,-3.07,1.55,-1.41,5.37,5.13,3.18,1.44,1.00,2.57,,,,,,,,,,,,,,,,,,
StLucia,3424.71,3593.54,3623.34,3751.06,3962.15,4227.21,4764.44,4907.78,5520.32,5980.32,6522.75,6484.55,6898.74,6853.26,6885.10,6912.54,7035.56,6926.01,7298.63,7443.30,7388.59,7092.79,7075.77,7348.21,7848.23,7784.31,8229.08,8271.10,8699.89,8765.09,8587.81,8607.99,8590.59,8849.30,8798.83,8940.95,9058.85,9272.68,,4.93,0.83,3.52,5.63,6.69,12.71,3.01,12.48,8.33,9.07,-0.59,6.39,-0.66,0.46,0.40,1.78,-1.56,5.38,1.98,-0.73,-4.00,-0.24,3.85,6.80,-0.81,5.71,0.51,5.18,0.75,-2.02,0.23,-0.20,3.01,-0.57,1.62,1.32,2.36,2.11,,,,,,,,,,,,,,,,,,
StVincentGrenadines,2377.28,2460.39,2537.86,2559.03,2698.74,2839.00,2971.97,2964.27,3360.99,3388.70,3508.43,3529.31,3745.29,3893.28,3839.22,4133.59,4187.72,4340.96,4526.94,4661.96,4749.59,4842.27,5164.93,5581.87,5835.88,6004.13,6489.31,6409.60,6860.97,6740.33,6536.61,6531.01,6642.41,6784.89,6871.77,7016.85,7125.21,7257.46,,3.50,3.15,0.83,5.46,5.20,4.68,-0.26,13.38,0.82,3.53,0.60,6.12,3.95,-1.39,7.67,1.31,3.66,4.28,2.98,1.88,1.95,6.66,8.07,4.55,2.88,8.08,-1.23,7.04,-1.76,-3.02,-0.09,1.71,2.15,1.28,2.11,1.54,1.86,2.24,,,,,,,,,,,,,,,,,,
TrinTobago,9361.86,9603.92,9797.52,8627.65,7987.24,7528.28,7164.94,6745.11,6410.78,6307.94,6367.24,6511.05,6388.02,6287.11,6510.65,6818.88,7316.12,7880.91,8538.23,9245.53,9906.12,10341.54,11191.07,12842.46,13898.03,14792.45,16775.15,17597.59,18216.21,17435.81,18033.76,17998.05,18247.62,18444.02,18417.18,18720.36,17632.35,17252.56,,2.59,2.02,-11.94,-7.42,-5.75,-4.83,-5.86,-4.96,-1.60,0.94,2.26,-1.89,-1.58,3.56,4.73,7.29,7.72,8.34,8.28,7.14,4.40,8.21,14.76,8.22,6.44,13.40,4.90,3.52,-4.28,3.43,-0.20,1.39,1.08,-0.15,1.65,-5.81,-2.15,2.12,,,,,,,,,,,,,,,,,,
